committee,year,meeting_date,meeting_title,document_name,url,is_pdf,file_size
Anesthetic and Analgesic Drug Products Advisory Committee,2017,,"March 13-14, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Agenda for the March 13-14, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM547228.pdf,True,38KB
Anesthetic and Analgesic Drug Products Advisory Committee,2017,,"March 13-14, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Questions for the March 13-14, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM547232.pdf,True,10KB
Anesthetic and Analgesic Drug Products Advisory Committee,2017,,"March 13-14, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Meeting Roster for the March 13-14, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM547233.pdf,True,36KB
Anesthetic and Analgesic Drug Products Advisory Committee,2017,,"March 13-14, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Slides for the March 13-14, 2017 Joint Meeting of the Drug Safety and Risk Management Advisory Committee (DSaRM) and the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/ucm547234.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-10-05,"October 5, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","October 5, 2016: Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee and the Drug Safety and Risk Management Meeting Announcement",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/AdvisoryCommittees/Calendar/ucm516000.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-10-05,"October 5, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Briefing Information for the October 5, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/ucm522686.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-10-05,"October 5, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Anesthetic and Analgesic Drug Products Advisory Committee Roster for the October 5, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM523507.pdf,True,27KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-10-05,"October 5, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Drug Safety and Risk Management Advisory Committee Roster for the October 5, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM523508.pdf,True,23KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-10-05,"October 5, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Webcast Information for the October 5, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM523505.pdf,True,67KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-10-05,"October 5, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Agenda for the October 5, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM524327.pdf,True,49KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-10-05,"October 5, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Questions for the October 5, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM524328.pdf,True,21KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-10-05,"October 5, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Meeting Roster for the October 5, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM524329.pdf,True,40KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-10-05,"October 5, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Slides for the October 5, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/ucm524330.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-10-05,"October 5, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Minutes for the October 5, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM527701.pdf,True,104KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-10-05,"October 5, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Transcript for the October 5, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM533421.pdf,True,900KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","September 15-16, 2016: Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee, the Drug Safety and Risk Management Advisory Committee, and the Pediatric Advisory Committee Meeting Announcement",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/AdvisoryCommittees/Calendar/ucm486846.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Briefing Information for the September 15-16, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/ucm519721.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Anesthetic and Analgesic Drug Products Advisory Committee Roster for the September 15-16, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM520393.pdf,True,24KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Drug Safety and Risk Management Advisory Committee Roster for the September 15-16, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM520394.pdf,True,23KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Pediatric Advisory Committee Roster for the September 15-16, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM520395.pdf,True,42KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Webcast Information for the September 15-16, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM520391.pdf,True,66KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Agenda for the September 15-16, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM522740.pdf,True,36KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Questions for the September 15-16, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM522741.pdf,True,14KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Meeting Roster for the September 15-16, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM522742.pdf,True,40KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Slides for the September 15-16, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/ucm522743.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Minutes for the September 15-16, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM524875.pdf,True,82KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Transcript for the September 15, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM531479.pdf,True,830KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,,"September 15-16, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Transcript for the September 16, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC), the Drug Safety and Risk Management Advisory Committee (DSaRM), and the Pediatric Advisory Committee (PAC)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM531480.pdf,True,595KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-08-04,"August 4, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","UPDATED Webnotice: August 4, 2016: Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee and the Drug Safety and Risk Management Advisory Committee Meeting Announcement",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/AdvisoryCommittees/Calendar/ucm509646.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-08-04,"August 4, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Anesthetic and Analgesic Drug Products Advisory Committee Roster for the August 4, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management (DSaRM) Advisory Committee Meeting",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM514400.pdf,True,19KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-08-04,"August 4, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Drug Safety and Risk Management Advisory Committee Roster for the August 4, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management (DSaRM) Advisory Committee Meeting",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM514401.pdf,True,44KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-08-04,"August 4, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Briefing Information for the August 4, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/ucm514372.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-08-04,"August 4, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Webcast Information for the August 4, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM514399.pdf,True,68KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-08-04,"August 4, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Agenda for the August 4, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM516578.pdf,True,23KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-08-04,"August 4, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Questions for the August 4, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM516580.pdf,True,13KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-08-04,"August 4, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Final Meeting Roster for the August 4, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM514396.pdf,True,33KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-08-04,"August 4, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Slides for the August 4, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/ucm516584.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-08-04,"August 4, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Minutes for the August 4, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM525207.pdf,True,40KB
Anesthetic and Analgesic Drug Products Advisory Committee,2016,2016-08-04,"August 4, 2016 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Transcript for the August 4, 2016 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223620/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM527001.pdf,True,579KB
