Year,Brand Name,Generic Name,Application Number,SPL Set ID,Review Document URL,Review Document Title
2009,VECTICAL,CALCITRIOL,NDA022087,a1567da9-af74-4afd-9ac5-8b53ec5d7cbf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/022087_vectical_toc.cfm,
1967,N/A,N/A,NDA016131,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/016131Orig1s028.pdf,
1967,N/A,N/A,NDA016131,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/016131Orig1s026.pdf,
2012,CEFIXIME,CEFIXIME,NDA203195,6d68dbd9-7d75-4ff1-91db-79ff8ae879ec,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/203195_suprax_toc.cfm,
2012,CEFIXIME,CEFIXIME,NDA203195,6d68dbd9-7d75-4ff1-91db-79ff8ae879ec,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/203195Orig1s000SumR.pdf,
1988,CYTOTEC,MISOPROSTOL,NDA019268,4ab12da7-5731-4e06-bf1c-bc3f2e711f12,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/019268Orig1s000.pdf,
2010,KRYSTEXXA,PEGLOTICASE,BLA125293,6e566303-d93a-4130-b764-25749829aa95,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/125293s0000TOC.cfm,
2010,KRYSTEXXA,PEGLOTICASE,BLA125293,6e566303-d93a-4130-b764-25749829aa95,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/125293Orig1s000SumR.pdf,
1986,KLOR-CON,POTASSIUM CHLORIDE,NDA019123,1ff53330-065c-4213-9c0c-ac498621d09d,http://www.accessdata.fda.gov/drugsatfda_docs/NDA/pre96/019123_s000.pdf,
2016,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,NDA208253,fad03768-f1d2-459f-965e-0ec29f189f1f,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208253Orig1s000TOC.cfm,
2016,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,NDA208253,fad03768-f1d2-459f-965e-0ec29f189f1f,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208253Orig1s000SumR.pdf,
2025,DAWNZERA,DONIDALORSEN,NDA219407,3ff501e0-f75f-07da-e063-6294a90a0cb7,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/219407Orig1s000TOC.cfm,
2023,POMBILITI ATGA,CIPAGLUCOSIDASE ALFA-ATGA,BLA761204,d77aa596-910d-516b-e053-2995a90a0839,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/761204Orig1s000TOC.cfm,
1999,PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,NDA021038,4419162d-81d4-49bd-96de-1729440bdb74,"https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/021038s022, s021 dexmedetomidine Precedex clinical bpca.pdf",
1999,PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,NDA021038,4419162d-81d4-49bd-96de-1729440bdb74,"https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/021038s022, s021 dexmedetomidine Precedex clinpharm bpca.pdf",
1999,PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,NDA021038,4419162d-81d4-49bd-96de-1729440bdb74,"https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/021038s022, s021 dexmedetomidine Precedex statistical bpca.pdf",
1999,PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,NDA021038,4419162d-81d4-49bd-96de-1729440bdb74,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/021038Orig1s020.pdf,
1999,PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,NDA021038,4419162d-81d4-49bd-96de-1729440bdb74,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/21-038_Precedex.cfm,
1999,PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,NDA021038,4419162d-81d4-49bd-96de-1729440bdb74,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/021038Orig1s017.pdf,
2003,CIALIS,TADALAFIL,NDA021368,bcd8f8ab-81a2-4891-83db-24a0b0e25895,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/21-368_Cialis.cfm,
2003,CIALIS,TADALAFIL,NDA021368,bcd8f8ab-81a2-4891-83db-24a0b0e25895,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/245_21368S30 tadalafil clinical bpca.pdf,
2003,CIALIS,TADALAFIL,NDA021368,bcd8f8ab-81a2-4891-83db-24a0b0e25895,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/244_21368S30 tadalafil clinpharm bpca.pdf,
2003,CIALIS,TADALAFIL,NDA021368,bcd8f8ab-81a2-4891-83db-24a0b0e25895,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/021368Orig1s020.pdf,
2012,N/A,N/A,BLA125294,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/125294Orig1s000SumR.pdf,
2012,N/A,N/A,BLA125294,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/125294Orig1s000TOC.cfm,
2012,N/A,N/A,BLA125294,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/312_125294S45-Tbo-filgrastim-clinical-bpca.pdf,
2012,N/A,N/A,BLA125294,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/311_125294S45-Tbo-filgrastim-CDTL-bpca.pdf,
2012,N/A,N/A,BLA125294,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/313_125294S45-Tbo-filgrastim-clinpharm-bpca.pdf,
2013,N/A,N/A,NDA204736,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/204736_aciphex_toc.cfm,
2013,N/A,N/A,NDA204736,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/UCM350720.pdf,
2013,N/A,N/A,NDA204736,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/UCM350721.pdf,
2013,N/A,N/A,NDA204736,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/UCM350723.pdf,
2017,RHOPRESSA,NETARSUDIL,NDA208254,7d4f0e3a-5b86-4c43-982a-813b22ae7e22,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208254Orig1s000TOC.cfm,
2018,N/A,N/A,NDA208627,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/208627Orig1s000TOC.cfm,
2018,N/A,N/A,NDA208627,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/208627Orig1s007.pdf,
2016,SELZENTRY,MARAVIROC,NDA208984,46f30ac5-c96b-429e-976d-8c5ee1c0761b,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208984Orig1s000,022128Orig1s017TOC.cfm",
2016,SELZENTRY,MARAVIROC,NDA208984,46f30ac5-c96b-429e-976d-8c5ee1c0761b,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/35_208984 maraviroc clinical prea.pdf,
2016,SELZENTRY,MARAVIROC,NDA208984,46f30ac5-c96b-429e-976d-8c5ee1c0761b,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/36_208984 maraviroc clinpharm prea.pdf,
2018,ALTRENO,TRETINOIN,NDA209353,1412aba5-71aa-4cce-8db4-c189bed1852c,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/209353Orig1s000TOC.cfm,
2021,TAVNEOS,AVACOPAN,NDA214487,c93cbc0b-29a3-46a5-9c85-41815ea5cf4a,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214487Orig1s000TOC.cfm,
2019,HARVONI,LEDIPASVIR AND SOFOSBUVIR,NDA212477,f4ec77e4-bae8-4db0-b3d5-bde09c5fa075,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/212477Orig1s000TOC.cfm,
2021,TWYNEO,TRETINOIN AND BENZOYL PEROXIDE,NDA214902,27208dff-e376-4c18-b56e-0a260f685a39,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/214902Orig1s000TOC.cfm,
2024,DAPTOMYCIN,DAPTOMYCIN,NDA217630,c1d47001-5e0f-46a3-b220-53f46b4fd6ac,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/217630Orig1s000TOC.cfm,
2011,N/A,N/A,NDA022485,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/022485_argatroban_toc.cfm,
2011,N/A,N/A,NDA022485,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/022485Orig1s000SumR.pdf,
2021,TIVDAK,TISOTUMAB VEDOTIN,BLA761208,c9fe3f32-4219-466e-acb9-3f609b4f4df1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/761208Orig1s000TOC.cfm,
1956,N/A,N/A,NDA010515,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/010515Orig1s031.pdf,
1956,N/A,N/A,NDA010515,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/010515Orig1s023.pdf,
1956,N/A,N/A,NDA010515,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/010515Orig1s024.pdf,
1956,N/A,N/A,NDA010515,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/10515s022_Isuprel.pdf,
2007,RIVASTIGMINE,RIVASTIGMINE,NDA022083,92a58ebb-748d-49f4-bf11-ecbcf5424152,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/022083Orig1s016.pdf,
2007,RIVASTIGMINE,RIVASTIGMINE,NDA022083,92a58ebb-748d-49f4-bf11-ecbcf5424152,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/022083_exelon_toc.cfm,
2009,ILARIS,CANAKINUMAB,BLA125319,7d271f3b-e4f9-4d80-8dcf-28d49123f80e,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/125319Orig1s085,086,087TOC.cfm",
2009,ILARIS,CANAKINUMAB,BLA125319,7d271f3b-e4f9-4d80-8dcf-28d49123f80e,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/125319s000TOC.cfm,
2009,ILARIS,CANAKINUMAB,BLA125319,7d271f3b-e4f9-4d80-8dcf-28d49123f80e,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/125319s000_SumR.pdf,
2009,ILARIS,CANAKINUMAB,BLA125319,7d271f3b-e4f9-4d80-8dcf-28d49123f80e,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/125319Orig1s085,086,087TOC.cfm",
2009,ILARIS,CANAKINUMAB,BLA125319,7d271f3b-e4f9-4d80-8dcf-28d49123f80e,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/125319Orig1s085,086,087TOC.cfm",
2016,N/A,N/A,NDA205103,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/205103Orig1s000TOC.cfm,
2015,IBRANCE,PALBOCICLIB,NDA207103,e0e6412f-50b4-4fd4-9364-62818d121a07,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/207103Orig1s000SumR.pdf,
2015,IBRANCE,PALBOCICLIB,NDA207103,e0e6412f-50b4-4fd4-9364-62818d121a07,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/207103Orig1s000TOC.cfm,
2015,IBRANCE,PALBOCICLIB,NDA207103,e0e6412f-50b4-4fd4-9364-62818d121a07,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/207103Orig1s008.pdf,
2015,IBRANCE,PALBOCICLIB,NDA207103,e0e6412f-50b4-4fd4-9364-62818d121a07,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/207103Orig1s004.pdf,
2015,IBRANCE,PALBOCICLIB,NDA207103,e0e6412f-50b4-4fd4-9364-62818d121a07,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/207103Orig1s002.pdf,
2018,SYMFI LO,"EFAVIRENZ, LAMIVUDINE AND TENOFOVIR DISOPROXIL FUMARATE",NDA208255,86aad85d-5460-4c38-9761-a225e6bce190,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/208255Orig1s000TOC.cfm,
2018,SYMFI LO,"EFAVIRENZ, LAMIVUDINE AND TENOFOVIR DISOPROXIL FUMARATE",NDA208255,86aad85d-5460-4c38-9761-a225e6bce190,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/234_208255-efavirenz-lamivudine-tenofovir-clinical-prea.pdf,
2018,SYMFI LO,"EFAVIRENZ, LAMIVUDINE AND TENOFOVIR DISOPROXIL FUMARATE",NDA208255,86aad85d-5460-4c38-9761-a225e6bce190,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/233_208255-efavirenz-lamivudine-tenofovir-clinpharm-prea.pdf,
2019,DUOBRII,HALOBETASOL PROPIONATE AND TAZAROTENE,NDA209354,b3f0cdc0-69fd-43d1-baf2-d776a3a20715,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/209354Orig1s000TOC.cfm,
2023,AIRSUPRA,ALBUTEROL SULFATE AND BUDESONIDE,NDA214070,e60aa9f9-5139-44df-b886-ebddc3c7eb13,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/214070Orig1s000TOC.cfm,
1996,ELMIRON,PENTOSAN POLYSULFATE SODIUM,NDA020193,f0ba651e-3d8a-11df-8fbe-119855d89593,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/020193Orig1s014.pdf,
1996,ELMIRON,PENTOSAN POLYSULFATE SODIUM,NDA020193,f0ba651e-3d8a-11df-8fbe-119855d89593,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/020193Orig1s000rev.pdf,
1996,ELMIRON,PENTOSAN POLYSULFATE SODIUM,NDA020193,f0ba651e-3d8a-11df-8fbe-119855d89593,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/020193Orig1s015.pdf,
1996,ELMIRON,PENTOSAN POLYSULFATE SODIUM,NDA020193,f0ba651e-3d8a-11df-8fbe-119855d89593,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020193Orig1s002.pdf,
2021,N/A,N/A,NDA212125,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/212125Orig1s000TOC.cfm,
2022,JYLAMVO,METHOTREXATE,NDA212479,96e931f5-51ae-4bdf-a441-bb0dd26d4c0e,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/212479Orig1,Orig2,Orig3,Orig4s000TOC.cfm",
2022,JYLAMVO,METHOTREXATE,NDA212479,96e931f5-51ae-4bdf-a441-bb0dd26d4c0e,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/212479Orig1,Orig2,Orig3,Orig4s000TOC.cfm",
2022,JYLAMVO,METHOTREXATE,NDA212479,96e931f5-51ae-4bdf-a441-bb0dd26d4c0e,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/212479Orig1,Orig2,Orig3,Orig4s000TOC.cfm",
2022,JYLAMVO,METHOTREXATE,NDA212479,96e931f5-51ae-4bdf-a441-bb0dd26d4c0e,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/212479Orig1,Orig2,Orig3,Orig4s000TOC.cfm",
2021,CYTALUX,PAFOLACIANINE INJECTION,NDA214907,d21952b9-7c4e-3a56-e053-2a95a90a0ab0,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214907Orig1s000TOC.cfm,
2023,MIEBO,PERFLUOROHEXYLOCTANE,NDA216675,6b283c02-7df4-4c00-951b-555cddffe77c,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/216675Orig1s000TOC.cfm,
2010,LYRICA,PREGABALIN,NDA022488,60185c88-ecfd-46f9-adb9-b97c6b00a553,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/022488_lyrica_toc.cfm,
2010,LYRICA,PREGABALIN,NDA022488,60185c88-ecfd-46f9-adb9-b97c6b00a553,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/022488s000sumr.pdf,
2010,LYRICA,PREGABALIN,NDA022488,60185c88-ecfd-46f9-adb9-b97c6b00a553,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/285_22488S13 pregabalin clinical and statistical both.pdf,
2010,LYRICA,PREGABALIN,NDA022488,60185c88-ecfd-46f9-adb9-b97c6b00a553,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/286_22488S13 pregabalin clinpharm both.pdf,
2010,LYRICA,PREGABALIN,NDA022488,60185c88-ecfd-46f9-adb9-b97c6b00a553,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/435_21446S36 pregabalin clinical prea.pdf,
2010,LYRICA,PREGABALIN,NDA022488,60185c88-ecfd-46f9-adb9-b97c6b00a553,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/436_21446S36 pregabalin CDTL prea.pdf,
2010,LYRICA,PREGABALIN,NDA022488,60185c88-ecfd-46f9-adb9-b97c6b00a553,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/437_21446S36 pregabalin clinipharm prea.pdf,
2010,LYRICA,PREGABALIN,NDA022488,60185c88-ecfd-46f9-adb9-b97c6b00a553,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/438_21446S36 pregabalin statistical prea.pdf,
2021,RYBREVANT,AMIVANTAMAB,BLA761210,1466c070-9f97-4fa4-a955-6a6b59981fb8,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/761210Orig1s000TOC.cfm,
1984,N/A,N/A,NDA050564,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/96/050564s022_augmentin.pdf,
2001,CAMPATH,ALEMTUZUMAB,BLA103948,4f5f7255-7abc-4328-bd1a-ceaf139ef3e0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/103948Orig1s5151.pdf,
2001,CAMPATH,ALEMTUZUMAB,BLA103948,4f5f7255-7abc-4328-bd1a-ceaf139ef3e0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/103948s000_CampathTOC.cfm,
2019,FLUORODOPA F18,FLUORODOPA F18,NDA200655,262503e7-de09-4b42-9963-ec00cbc7c35c,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/200655Orig1s000TOC.cfm,
2012,N/A,N/A,NDA202799,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/202799_Omontys_Orig1s000TOC.cfm,
2012,N/A,N/A,NDA202088,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/202088Origs1s000SumR.pdf,
2012,N/A,N/A,NDA202088,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/202088_suprenza_toc.cfm,
2012,N/A,N/A,NDA202088,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/202088_suprenza_toc.cfm,
2012,N/A,N/A,NDA202088,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/202088Orig2s000SumR.pdf,
2017,N/A,N/A,NDA204325,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/183_204325 amphetamine clinical prea.pdf,
2017,N/A,N/A,NDA204325,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/182_204325 amphetamine clinpharm prea.pdf,
2017,N/A,N/A,NDA204325,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/204325Orig1s000TOC.cfm,
2014,NATESTO NASAL GEL,TESTOSTERONE,NDA205488,dea6bed1-eaca-11e3-ac10-0800200c9a66,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205488Orig1s000SumR.pdf,
2014,NATESTO NASAL GEL,TESTOSTERONE,NDA205488,dea6bed1-eaca-11e3-ac10-0800200c9a66,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205488Orig1s000TOC.cfm,
2024,ITOVEBI,INAVOLISIB,NDA219249,5de59f5b-e5db-410f-b692-658686ef4107,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/219249Orig1s000TOC.cfm,
2022,ROLVEDON,EFLAPEGRASTIM-XNST,BLA761148,6e436115-62e7-4729-aeb0-ff78ea685206,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/761148Orig1s000TOC.cfm,
1996,N/A,N/A,NDA020613,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/20-490s007_Alphagan.cfm,
1996,N/A,N/A,NDA020613,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/020613Orig1s000rev.pdf,
2005,N/A,N/A,NDA020645,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/020645s000TOC.cfm,
2023,RYZUMVI,PHENTOLAMINE MESYLATE,NDA217064,96bb1e53-c2cc-4e60-a21a-db0269c371bf,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/217064Orig1s000TOC.cfm,
2013,ALOGLIPTIN AND PIOGLITAZONE,ALOGLIPTIN BENZOATE AND PIOGLITAZONE HYDROCHLORIDE,NDA022426,642b1e90-701e-42f2-bac6-a4918738e2c9,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/022426Orig1s000TOC.cfm,
2000,NOVOLOG,INSULIN ASPART,BLA020986,3a1e73a2-3009-40d0-876c-b4cb2be56fc5,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/20-986se3003_Novolog.cfm,"This Former NDA Was Deemed To Be a BLA on March 23, 2020."
2000,NOVOLOG,INSULIN ASPART,BLA020986,3a1e73a2-3009-40d0-876c-b4cb2be56fc5,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/20-986SE3003_NovoLog_Approv.pdf,"This Former NDA Was Deemed To Be a BLA on March 23, 2020."
2000,NOVOLOG,INSULIN ASPART,BLA020986,3a1e73a2-3009-40d0-876c-b4cb2be56fc5,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/020986Orig1s040.pdf,
2000,NOVOLOG,INSULIN ASPART,BLA020986,3a1e73a2-3009-40d0-876c-b4cb2be56fc5,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/020986Orig1s002.pdf,"This Former NDA Was Deemed To Be a BLA on March 23, 2020."
2000,NOVOLOG,INSULIN ASPART,BLA020986,3a1e73a2-3009-40d0-876c-b4cb2be56fc5,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/020986Orig1s047.pdf,
2000,NOVOLOG,INSULIN ASPART,BLA020986,3a1e73a2-3009-40d0-876c-b4cb2be56fc5,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/020986Orig1s061.pdf,"This Former NDA Was Deemed To Be a BLA on March 23, 2020."
2000,NOVOLOG,INSULIN ASPART,BLA020986,3a1e73a2-3009-40d0-876c-b4cb2be56fc5,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/20986_Insulin-Aspart_Clinical_PREA.pdf,
